"species_sci"	"sample"	"study"	"pub_stranded"	"n_reads"	"failed"	"strand_fwd"	"strand_rev"	"max_strand"	"max_strand_no_fail"	"aligned"	"percent_aligned"	"test_stranded"	"flag"
"s. cerevisiae"	"SRR5000467"	"PRJNA352693"	"Stranded"	1000	0.021	0.042	0.937	0.937	0.957099080694586	860	0.86	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309371"	"PRJNA377731"	"Stranded"	1000	0.056	0.031	0.913	0.913	0.967161016949152	816	0.816	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309372"	"PRJNA377731"	"Stranded"	1000	0.046	0.008	0.946	0.946	0.991614255765199	861	0.861	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309373"	"PRJNA377731"	"Stranded"	1000	0.049	0.021	0.93	0.93	0.977917981072555	865	0.865	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5417301"	"PRJNA381711"	"Unstranded"	1000	0.032	0.492	0.476	0.492	0.508264462809917	752	0.752	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5417302"	"PRJNA381711"	"Unstranded"	1000	0.022	0.506	0.472	0.506	0.517382413087935	826	0.826	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5417303"	"PRJNA381711"	"Unstranded"	1000	0.047	0.509	0.444	0.509	0.534102833158447	724	0.724	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5468230"	"PRJNA383899"	"Stranded"	1000	0.018	0.005	0.977	0.977	0.994908350305499	884	0.884	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5468231"	"PRJNA383899"	"Stranded"	1000	0.032	0.015	0.953	0.953	0.984504132231405	893	0.893	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5468232"	"PRJNA383899"	"Stranded"	1000	0.021	0.012	0.967	0.967	0.987742594484167	886	0.886	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357070"	"PRJNA421472"	"Stranded"	1000	0.046	0.009	0.945	0.945	0.990566037735849	783	0.783	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357071"	"PRJNA421472"	"Stranded"	1000	0.037	0.007	0.956	0.956	0.992731048805815	779	0.779	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357072"	"PRJNA421472"	"Stranded"	1000	0.039	0.005	0.956	0.956	0.994797086368366	776	0.776	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6767450"	"PRJNA435723"	"Stranded"	1000	0.045	0.795	0.16	0.795	0.832460732984293	598	0.598	"Stranded"	"Failed"
"s. cerevisiae"	"SRR6767451"	"PRJNA435723"	"Stranded"	1000	0.034	0.868	0.098	0.868	0.898550724637681	667	0.667	"Stranded"	"Failed"
"s. cerevisiae"	"SRR6767452"	"PRJNA435723"	"Stranded"	1000	0.572	0.378	0.05	0.378	0.883177570093458	588	0.588	"Stranded"	"Failed"
"s. cerevisiae"	"SRR7174202"	"PRJNA471740"	"Stranded"	1000	0.149	0.015	0.836	0.836	0.982373678025852	586	0.586	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7174204"	"PRJNA471740"	"Stranded"	1000	0.169	0.009	0.822	0.822	0.989169675090253	569	0.569	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7363059"	"PRJNA476714"	"Stranded"	1000	0.038	0.004	0.958	0.958	0.995841995841996	939	0.939	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7363060"	"PRJNA476714"	"Stranded"	1000	0.038	0.004	0.958	0.958	0.995841995841996	962	0.962	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7363061"	"PRJNA476714"	"Stranded"	1000	0.042	0	0.958	0.958	1	957	0.957	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8109496"	"PRJNA498394"	"Stranded"	1000	0.044	0.01	0.946	0.946	0.989539748953975	743	0.743	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8109497"	"PRJNA498394"	"Stranded"	1000	0.02	0.007	0.973	0.973	0.992857142857143	736	0.736	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8109498"	"PRJNA498394"	"Stranded"	1000	0.042	0.017	0.941	0.941	0.982254697286013	740	0.74	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8198059"	"PRJNA505786"	"Stranded"	1000	0.014	0.047	0.939	0.939	0.952332657200811	608	0.608	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8198060"	"PRJNA505786"	"Stranded"	1000	0.031	0.035	0.934	0.934	0.963880288957688	665	0.665	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8198061"	"PRJNA505786"	"Stranded"	1000	0.018	0.032	0.95	0.95	0.967413441955193	677	0.677	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8761856"	"PRJNA528474"	"Unstranded"	1000	0.164	0.401	0.435	0.435	0.520334928229665	878	0.878	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR8761857"	"PRJNA528474"	"Unstranded"	1000	0.141	0.471	0.388	0.471	0.548311990686845	875	0.875	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR8761858"	"PRJNA528474"	"Unstranded"	1000	0.093	0.453	0.454	0.454	0.500551267916207	857	0.857	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR9336459"	"PRJNA550078"	"Stranded"	1000	0.027	0.02	0.953	0.953	0.979445015416238	911	0.911	"Stranded"	"Passed"
"s. cerevisiae"	"SRR9336460"	"PRJNA550078"	"Stranded"	1000	0.017	0.029	0.954	0.954	0.970498474059003	904	0.904	"Stranded"	"Passed"
"s. cerevisiae"	"SRR9336461"	"PRJNA550078"	"Stranded"	1000	0.023	0.02	0.957	0.957	0.979529170931423	895	0.895	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1555415"	"PRJNA258654"	"Unstranded"	10000	0.0501	0.5267	0.4232	0.5267	0.554479418886199	9439	0.9439	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1555416"	"PRJNA258654"	"Unstranded"	10000	0.0477	0.5185	0.4338	0.5185	0.544471280058805	9171	0.9171	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1555417"	"PRJNA258654"	"Unstranded"	10000	0.0406	0.5425	0.4169	0.5425	0.5654575776527	9462	0.9462	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1605749"	"PRJNA263283"	"Stranded"	10000	0.0591	0.3511	0.5898	0.5898	0.626846636199384	7473	0.7473	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1605750"	"PRJNA263283"	"Stranded"	10000	0.0668	0.3454	0.5878	0.5878	0.629875696528075	7515	0.7515	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1605751"	"PRJNA263283"	"Stranded"	10000	0.0566	0.2961	0.6473	0.6473	0.686135255458978	8189	0.8189	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1656884"	"PRJNA267766"	"Stranded"	10000	0.2023	0.0057	0.792	0.792	0.992854456562618	5177	0.5177	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1656885"	"PRJNA267766"	"Stranded"	10000	0.2069	0.0104	0.7826	0.7826	0.986885245901639	4560	0.456	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1656886"	"PRJNA267766"	"Stranded"	10000	0.2076	0.0057	0.7867	0.7867	0.992806663301363	5249	0.5249	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817418"	"PRJNA299815"	"Stranded"	10000	0.0971	0.0339	0.869	0.869	0.962454313877506	6849	0.6849	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817419"	"PRJNA299815"	"Stranded"	10000	0.0736	0.0222	0.9042	0.9042	0.976036269430052	7645	0.7645	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817420"	"PRJNA299815"	"Stranded"	10000	0.1042	0.0208	0.875	0.875	0.976780531368609	6794	0.6794	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140907"	"PRJNA310655"	"Stranded"	10000	0.1741	0.0092	0.8167	0.8167	0.988860636880978	5288	0.5288	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140908"	"PRJNA310655"	"Stranded"	10000	0.1492	0.0097	0.8411	0.8411	0.988598965679361	5018	0.5018	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140909"	"PRJNA310655"	"Stranded"	10000	0.1122	0.0087	0.8791	0.8791	0.990200495607119	5447	0.5447	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180780"	"PRJNA312727"	"Stranded"	10000	0.0451	0.0072	0.9477	0.9477	0.992459943449576	9309	0.9309	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180781"	"PRJNA312727"	"Stranded"	10000	0.0431	0.0063	0.9506	0.9506	0.993416239941478	9318	0.9318	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180782"	"PRJNA312727"	"Stranded"	10000	0.0427	0.0068	0.9505	0.9505	0.992896688603364	9349	0.9349	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407195"	"PRJNA319164"	"Stranded"	10000	0.0429	0.0082	0.9489	0.9489	0.991432452199352	9460	0.946	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407196"	"PRJNA319164"	"Stranded"	10000	0.0398	0.0102	0.95	0.95	0.989377213080608	9437	0.9437	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407197"	"PRJNA319164"	"Stranded"	10000	0.0416	0.0085	0.9499	0.9499	0.991131051752922	9345	0.9345	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018567"	"PRJNA338508"	"Stranded"	10000	0.0424	0.0107	0.9469	0.9469	0.988826232247285	9067	0.9067	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018568"	"PRJNA338508"	"Stranded"	10000	0.044	0.0093	0.9467	0.9467	0.990271966527197	9095	0.9095	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018569"	"PRJNA338508"	"Stranded"	10000	0.0397	0.0096	0.9507	0.9507	0.990003124023743	9086	0.9086	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000465"	"PRJNA352693"	"Stranded"	10000	0.0385	0.0091	0.9524	0.9524	0.990535621424857	9111	0.9111	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000466"	"PRJNA352693"	"Stranded"	10000	0.0321	0.0111	0.9568	0.9568	0.988531873127389	9070	0.907	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000467"	"PRJNA352693"	"Stranded"	10000	0.0295	0.0368	0.9337	0.9337	0.962081401339516	8653	0.8653	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309371"	"PRJNA377731"	"Stranded"	10000	0.0692	0.0119	0.9189	0.9189	0.987215298667813	8240	0.824	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309372"	"PRJNA377731"	"Stranded"	10000	0.0562	0.0119	0.9319	0.9319	0.987391396482306	8603	0.8603	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309373"	"PRJNA377731"	"Stranded"	10000	0.0479	0.0126	0.9395	0.9395	0.98676609599832	8544	0.8544	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5417301"	"PRJNA381711"	"Unstranded"	10000	0.0332	0.4904	0.4764	0.4904	0.507240380637153	7567	0.7567	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5417302"	"PRJNA381711"	"Unstranded"	10000	0.0274	0.4916	0.481	0.4916	0.50544931112482	8252	0.8252	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5417303"	"PRJNA381711"	"Unstranded"	10000	0.0361	0.4915	0.4724	0.4915	0.509907666770412	7333	0.7333	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5468230"	"PRJNA383899"	"Stranded"	10000	0.0253	0.0191	0.9556	0.9556	0.980404226941623	8881	0.8881	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5468231"	"PRJNA383899"	"Stranded"	10000	0.027	0.0146	0.9584	0.9584	0.984994861253854	8843	0.8843	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5468232"	"PRJNA383899"	"Stranded"	10000	0.0266	0.0152	0.9582	0.9582	0.984384631189645	8786	0.8786	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357070"	"PRJNA421472"	"Stranded"	10000	0.0368	0.0077	0.9555	0.9555	0.992005813953488	7894	0.7894	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357071"	"PRJNA421472"	"Stranded"	10000	0.0425	0.0061	0.9514	0.9514	0.993629242819843	7911	0.7911	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357072"	"PRJNA421472"	"Stranded"	10000	0.0494	0.0078	0.9428	0.9428	0.991794656006733	8018	0.8018	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6767450"	"PRJNA435723"	"Stranded"	10000	0.0324	0.8081	0.1595	0.8081	0.835159156676313	6316	0.6316	"Stranded"	"Failed"
"s. cerevisiae"	"SRR6767451"	"PRJNA435723"	"Stranded"	10000	0.0355	0.8572	0.1073	0.8572	0.888750648004147	6601	0.6601	"Stranded"	"Failed"
"s. cerevisiae"	"SRR6767452"	"PRJNA435723"	"Stranded"	10000	0.5602	0.3996	0.0402	0.3996	0.908594815825375	5699	0.5699	"Stranded"	"Failed"
"s. cerevisiae"	"SRR7174202"	"PRJNA471740"	"Stranded"	10000	0.1741	0.0114	0.8145	0.8145	0.986196876135125	6037	0.6037	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7174204"	"PRJNA471740"	"Stranded"	10000	0.1688	0.0105	0.8207	0.8207	0.987367661212705	5500	0.55	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7363059"	"PRJNA476714"	"Stranded"	10000	0.051	0.0042	0.9448	0.9448	0.995574288724974	9441	0.9441	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7363060"	"PRJNA476714"	"Stranded"	10000	0.0409	0.0061	0.953	0.953	0.993639870712126	9575	0.9575	"Stranded"	"Passed"
"s. cerevisiae"	"SRR7363061"	"PRJNA476714"	"Stranded"	10000	0.0448	0.0046	0.9506	0.9506	0.995184254606365	9477	0.9477	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8109496"	"PRJNA498394"	"Stranded"	10000	0.0342	0.0118	0.954	0.954	0.987782149513357	7666	0.7666	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8109497"	"PRJNA498394"	"Stranded"	10000	0.0235	0.0123	0.9642	0.9642	0.987403993855607	7499	0.7499	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8109498"	"PRJNA498394"	"Stranded"	10000	0.0308	0.0146	0.9546	0.9546	0.984936029715229	7415	0.7415	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8198059"	"PRJNA505786"	"Stranded"	10000	0.0196	0.0456	0.9348	0.9348	0.953488372093023	6101	0.6101	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8198060"	"PRJNA505786"	"Stranded"	10000	0.0201	0.0381	0.9418	0.9418	0.961118481477702	6730	0.673	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8198061"	"PRJNA505786"	"Stranded"	10000	0.0208	0.0303	0.9489	0.9489	0.96905637254902	6852	0.6852	"Stranded"	"Passed"
"s. cerevisiae"	"SRR8761856"	"PRJNA528474"	"Unstranded"	10000	0.1431	0.4262	0.4307	0.4307	0.502625743960789	8750	0.875	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR8761857"	"PRJNA528474"	"Unstranded"	10000	0.1378	0.4307	0.4315	0.4315	0.500463929482719	8802	0.8802	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR8761858"	"PRJNA528474"	"Unstranded"	10000	0.1053	0.4552	0.4395	0.4552	0.508773890689617	8608	0.8608	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR9336459"	"PRJNA550078"	"Stranded"	10000	0.0317	0.0216	0.9467	0.9467	0.977692863781886	9145	0.9145	"Stranded"	"Passed"
"s. cerevisiae"	"SRR9336460"	"PRJNA550078"	"Stranded"	10000	0.0301	0.0247	0.9452	0.9452	0.974533457057429	9012	0.9012	"Stranded"	"Passed"
"s. cerevisiae"	"SRR9336461"	"PRJNA550078"	"Stranded"	10000	0.0245	0.0264	0.9491	0.9491	0.972936955407483	9066	0.9066	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1555415"	"PRJNA258654"	"Unstranded"	100000	0.0477	0.5266	0.4256	0.5266	0.553035076664566	94066	0.94066	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1555416"	"PRJNA258654"	"Unstranded"	100000	0.05	0.522	0.4279	0.522	0.549531529634698	91608	0.91608	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1555417"	"PRJNA258654"	"Unstranded"	100000	0.0385	0.5311	0.4304	0.5311	0.552366094643786	94734	0.94734	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1605749"	"PRJNA263283"	"Stranded"	100000	0.0623	0.3445	0.5933	0.5933	0.632650885050117	74961	0.74961	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1605750"	"PRJNA263283"	"Stranded"	100000	0.0628	0.3453	0.5919	0.5919	0.631562099871959	74802	0.74802	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1605751"	"PRJNA263283"	"Stranded"	100000	0.0574	0.2994	0.6432	0.6432	0.682367918523234	81652	0.81652	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1656884"	"PRJNA267766"	"Stranded"	100000	0.2006	0.0082	0.7911	0.7911	0.989741023395471	52654	0.52654	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1656885"	"PRJNA267766"	"Stranded"	100000	0.2097	0.0092	0.7812	0.7812	0.98836032388664	46011	0.46011	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1656886"	"PRJNA267766"	"Stranded"	100000	0.202	0.0074	0.7906	0.7906	0.990726817042607	52632	0.52632	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817418"	"PRJNA299815"	"Stranded"	100000	0.1013	0.0326	0.8662	0.8662	0.963729417000445	69477	0.69477	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817419"	"PRJNA299815"	"Stranded"	100000	0.073	0.0248	0.9022	0.9022	0.973247033441208	75944	0.75944	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817420"	"PRJNA299815"	"Stranded"	100000	0.1101	0.0222	0.8677	0.8677	0.975053376783908	67363	0.67363	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140907"	"PRJNA310655"	"Stranded"	100000	0.1667	0.0094	0.824	0.824	0.988720902327814	53098	0.53098	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140908"	"PRJNA310655"	"Stranded"	100000	0.1506	0.0107	0.8388	0.8388	0.987404355503237	50433	0.50433	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140909"	"PRJNA310655"	"Stranded"	100000	0.1089	0.0098	0.8814	0.8814	0.989003590664273	55269	0.55269	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180780"	"PRJNA312727"	"Stranded"	100000	0.0443	0.0079	0.9478	0.9478	0.991733807680234	93052	0.93052	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180781"	"PRJNA312727"	"Stranded"	100000	0.0438	0.0069	0.9493	0.9493	0.992783936414976	93502	0.93502	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180782"	"PRJNA312727"	"Stranded"	100000	0.0432	0.0071	0.9497	0.9497	0.992579431438127	93344	0.93344	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407195"	"PRJNA319164"	"Stranded"	100000	0.0434	0.0083	0.9484	0.9484	0.991324344099509	95175	0.95175	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407196"	"PRJNA319164"	"Stranded"	100000	0.0416	0.0105	0.948	0.948	0.989045383411581	94933	0.94933	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407197"	"PRJNA319164"	"Stranded"	100000	0.0422	0.0092	0.9485	0.9485	0.990393651456615	94255	0.94255	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018567"	"PRJNA338508"	"Stranded"	100000	0.0428	0.0119	0.9453	0.9453	0.987567906393648	90686	0.90686	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018568"	"PRJNA338508"	"Stranded"	100000	0.045	0.0093	0.9457	0.9457	0.990261780104712	90940	0.9094	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018569"	"PRJNA338508"	"Stranded"	100000	0.0428	0.0086	0.9485	0.9485	0.991014523038345	91179	0.91179	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000465"	"PRJNA352693"	"Stranded"	100000	0.0367	0.0099	0.9533	0.9533	0.989721760797342	91080	0.9108	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000466"	"PRJNA352693"	"Stranded"	100000	0.0357	0.0099	0.9545	0.9545	0.989734549979262	90448	0.90448	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000467"	"PRJNA352693"	"Stranded"	100000	0.0288	0.0329	0.9383	0.9383	0.966124382207578	86839	0.86839	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309371"	"PRJNA377731"	"Stranded"	100000	0.0659	0.0147	0.9194	0.9194	0.98426292688149	82482	0.82482	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309372"	"PRJNA377731"	"Stranded"	100000	0.0605	0.0107	0.9288	0.9288	0.98861096327834	86177	0.86177	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5309373"	"PRJNA377731"	"Stranded"	100000	0.05	0.0148	0.9352	0.9352	0.984421052631579	85862	0.85862	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5417301"	"PRJNA381711"	"Unstranded"	100000	0.0322	0.494	0.4738	0.494	0.510436040504236	75334	0.75334	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5417302"	"PRJNA381711"	"Unstranded"	100000	0.0248	0.5	0.4752	0.5	0.512715340442986	82138	0.82138	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5417303"	"PRJNA381711"	"Unstranded"	100000	0.0383	0.4915	0.4702	0.4915	0.511074139544556	73291	0.73291	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR5468230"	"PRJNA383899"	"Stranded"	100000	0.0282	0.0164	0.9554	0.9554	0.983124099608973	88444	0.88444	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5468231"	"PRJNA383899"	"Stranded"	100000	0.0294	0.0148	0.9558	0.9558	0.984751699979394	88729	0.88729	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5468232"	"PRJNA383899"	"Stranded"	100000	0.0267	0.0155	0.9578	0.9578	0.984074797082092	88346	0.88346	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357070"	"PRJNA421472"	"Stranded"	100000	0.0386	0.0085	0.9529	0.9529	0.991158726856667	79651	0.79651	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357071"	"PRJNA421472"	"Stranded"	100000	0.0412	0.0082	0.9506	0.9506	0.991447642886942	78894	0.78894	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6357072"	"PRJNA421472"	"Stranded"	100000	0.0483	0.0091	0.9427	0.9427	0.990439167892414	80730	0.8073	"Stranded"	"Passed"
"s. cerevisiae"	"SRR6767450"	"PRJNA435723"	"Stranded"	100000	0.0301	0.8093	0.1606	0.8093	0.834415919166924	62412	0.62412	"Stranded"	"Failed"
